S.No,Axial RMS Acceleration(m/sec2),Axial RMS Velocity(mm/sec),Horizontal RMS Acceleration(m/sec2),Horizontal RMS Velocity(mm/sec),Vertical RMS Acceleration(m/sec2),Vertical RMS Velocity(mm/sec),Noise (db),Temperature (degC),Current(A)
322,19.056,7.818,9.689,5.231,10.655,11.121,101.315,53.044,7.53
323,18.5815,7.8325,9.984,5.676,10.8075,13.1315,100.781,53.036,7.63
324,18.045,8.027,10.076,5.745,10.641,12.262,100.597,53.036,7.44
325,20.4465,7.8705,10.7655,6.5335,10.678,12.2145,101.297,53.036,7.57
326,19.089,8.29,10.145,6.275,10.15,11.871,98.534,53.036,7.63
327,19.475,9.237,10.522,5.858,11.413,11.271,102.08,53.028,7.87
328,19.3685,8.1525,10.122,5.611,10.6585,12.3115,101.68,53.02,7.61
329,20.053,8.005,10.532,5.879,11.203,12.841,99.11,53.02,7.65
330,19.552,8.437,11.344,5.443,10.647,11.341,101.309,53.005,7.52
331,19.0195,8.3755,9.8695,5.7205,10.9565,13.491,98.893,53.013,7.54
332,19.249,7.57,10.907,5.504,10.792,11.072,101.482,53.005,7.64
333,18.507,7.3895,10.151,5.286,10.359,11.732,100.709,53.005,7.76
334,18.64,6.796,10.392,5.209,9.882,11.124,97.814,53.005,7.54
335,18.341,6.628,10.843,6.234,10.877,11.795,101.481,52.997,7.62
336,18.6705,8.114,10.8235,5.677,11.0945,12.508,102.066,53.005,7.45
337,17.884,8.298,9.99,5.119,9.81,14.611,98.53,53.005,7.56
338,18.055,6.301,11.299,5.832,10.956,11.717,98.81,53.005,7.64
